[INFO  12:00:19] Start training with parametrization:
{
    "batch_size": 100,
    "beta": 1,
    "c_energy": "squared_error",
    "dataset": "mnist",
    "dimensions": [
        784,
        1000,
        10
    ],
    "dynamics": {
        "dt": 0.1,
        "n_relax": 50,
        "tau": 1,
        "tol": 0
    },
    "energy": "restr_hopfield",
    "epochs": 100,
    "fast_ff_init": false,
    "learning_rate": 0.001,
    "log_dir": "",
    "nonlinearity": "sigmoid",
    "optimizer": "adam",
    "seed": 2022
}
[INFO  12:00:20] 0%:	E: 576.30	dE -27.12	batch_acc 0.1400
[INFO  12:00:58] 10%:	E: -2707.01	dE -19.71	batch_acc 0.4200
[INFO  12:01:37] 20%:	E: -3030.37	dE -18.40	batch_acc 0.5800
[INFO  12:02:15] 30%:	E: -3384.67	dE -18.14	batch_acc 0.4900
[INFO  12:02:53] 40%:	E: -3511.85	dE -15.54	batch_acc 0.6600
[INFO  12:03:32] 50%:	E: -4105.27	dE -15.44	batch_acc 0.6000
[INFO  12:04:10] 60%:	E: -4093.20	dE -14.46	batch_acc 0.5900
[INFO  12:04:49] 70%:	E: -4199.62	dE -13.06	batch_acc 0.6600
[INFO  12:05:27] 80%:	E: -4496.79	dE -13.62	batch_acc 0.6400
[INFO  12:06:05] 90%:	E: -4504.30	dE -13.07	batch_acc 0.6000
[INFO  12:07:14] epoch: 1 	 test_acc: 0.6876 	 mean_E: -4927.0971
[INFO  12:07:15] 0%:	E: -4791.38	dE -12.30	batch_acc 0.6300
[INFO  12:07:53] 10%:	E: -4942.59	dE -9.98	batch_acc 0.7300
[INFO  12:08:32] 20%:	E: -5565.39	dE -11.27	batch_acc 0.6500
[INFO  12:09:10] 30%:	E: -4979.72	dE -10.08	batch_acc 0.7600
[INFO  12:09:49] 40%:	E: -5470.85	dE -9.74	batch_acc 0.8000
[INFO  12:10:27] 50%:	E: -6213.23	dE -9.72	batch_acc 0.7400
[INFO  12:11:05] 60%:	E: -5886.73	dE -8.58	batch_acc 0.7700
[INFO  12:11:43] 70%:	E: -5774.27	dE -9.84	batch_acc 0.7400
[INFO  12:12:21] 80%:	E: -5962.55	dE -9.70	batch_acc 0.7000
[INFO  12:12:59] 90%:	E: -6589.70	dE -6.32	batch_acc 0.8500
[INFO  12:14:07] epoch: 2 	 test_acc: 0.7691 	 mean_E: -6434.3056
[INFO  12:14:08] 0%:	E: -6365.33	dE -8.14	batch_acc 0.7700
[INFO  12:14:47] 10%:	E: -6245.79	dE -6.40	batch_acc 0.8500
[INFO  12:15:25] 20%:	E: -6456.67	dE -6.66	batch_acc 0.8200
[INFO  12:16:04] 30%:	E: -6557.11	dE -7.31	batch_acc 0.8500
[INFO  12:16:42] 40%:	E: -6588.83	dE -7.29	batch_acc 0.8300
[INFO  12:17:21] 50%:	E: -6952.32	dE -9.03	batch_acc 0.7500
[INFO  12:17:59] 60%:	E: -7248.93	dE -7.12	batch_acc 0.8100
[INFO  12:18:37] 70%:	E: -6623.96	dE -6.56	batch_acc 0.8000
[INFO  12:19:16] 80%:	E: -7412.24	dE -7.15	batch_acc 0.8100
[INFO  12:19:54] 90%:	E: -7026.02	dE -4.83	batch_acc 0.8900
[INFO  12:21:03] epoch: 3 	 test_acc: 0.7990 	 mean_E: -7561.9836
[INFO  12:21:04] 0%:	E: -7200.54	dE -5.60	batch_acc 0.8800
[INFO  12:21:42] 10%:	E: -7367.72	dE -5.86	batch_acc 0.8400
[INFO  12:22:20] 20%:	E: -7644.39	dE -5.80	batch_acc 0.8700
[INFO  12:22:59] 30%:	E: -8168.16	dE -5.32	batch_acc 0.8700
[INFO  12:23:37] 40%:	E: -7465.92	dE -7.50	batch_acc 0.7900
[INFO  12:24:16] 50%:	E: -7842.66	dE -6.61	batch_acc 0.8400
[INFO  12:24:54] 60%:	E: -8277.64	dE -6.71	batch_acc 0.8000
[INFO  12:25:33] 70%:	E: -8105.92	dE -7.12	batch_acc 0.8400
[INFO  12:26:11] 80%:	E: -8833.53	dE -8.03	batch_acc 0.7600
[INFO  12:26:50] 90%:	E: -8164.47	dE -6.97	batch_acc 0.7900
[INFO  12:27:58] epoch: 4 	 test_acc: 0.8262 	 mean_E: -8507.1525
[INFO  12:27:59] 0%:	E: -8780.86	dE -6.07	batch_acc 0.8100
[INFO  12:28:37] 10%:	E: -8904.42	dE -4.87	batch_acc 0.9000
[INFO  12:29:16] 20%:	E: -8254.77	dE -6.49	batch_acc 0.8200
[INFO  12:29:54] 30%:	E: -8337.71	dE -5.16	batch_acc 0.8600
[INFO  12:30:33] 40%:	E: -9027.71	dE -6.21	batch_acc 0.8300
[INFO  12:31:12] 50%:	E: -8813.74	dE -5.33	batch_acc 0.8800
[INFO  12:31:50] 60%:	E: -8403.36	dE -5.61	batch_acc 0.8800
[INFO  12:32:28] 70%:	E: -8891.13	dE -6.55	batch_acc 0.8600
[INFO  12:33:07] 80%:	E: -9489.01	dE -5.35	batch_acc 0.8500
[INFO  12:33:45] 90%:	E: -9230.88	dE -6.07	batch_acc 0.8300
[INFO  12:34:54] epoch: 5 	 test_acc: 0.8347 	 mean_E: -9332.0738
[INFO  12:34:55] 0%:	E: -8665.55	dE -5.89	batch_acc 0.8700
[INFO  12:35:33] 10%:	E: -9617.22	dE -6.00	batch_acc 0.8400
[INFO  12:36:12] 20%:	E: -9118.55	dE -6.05	batch_acc 0.8100
[INFO  12:36:51] 30%:	E: -9052.17	dE -4.38	batch_acc 0.8700
[INFO  12:37:29] 40%:	E: -9758.66	dE -6.04	batch_acc 0.8500
[INFO  12:38:07] 50%:	E: -9702.45	dE -5.65	batch_acc 0.8600
[INFO  12:38:46] 60%:	E: -9810.38	dE -7.48	batch_acc 0.7900
[INFO  12:39:25] 70%:	E: -9332.88	dE -3.90	batch_acc 0.9000
[INFO  12:40:03] 80%:	E: -9440.61	dE -5.23	batch_acc 0.8500
[INFO  12:40:41] 90%:	E: -10337.59	dE -6.21	batch_acc 0.8400
[INFO  12:41:50] epoch: 6 	 test_acc: 0.8423 	 mean_E: -10055.9064
[INFO  12:41:51] 0%:	E: -10351.63	dE -5.77	batch_acc 0.8400
[INFO  12:42:29] 10%:	E: -9852.79	dE -6.48	batch_acc 0.8300
[INFO  12:43:08] 20%:	E: -10131.77	dE -4.91	batch_acc 0.8500
[INFO  12:43:46] 30%:	E: -10874.43	dE -5.34	batch_acc 0.8600
[INFO  12:44:25] 40%:	E: -10462.21	dE -5.19	batch_acc 0.8400
[INFO  12:45:03] 50%:	E: -10811.29	dE -4.44	batch_acc 0.9100
[INFO  12:45:42] 60%:	E: -10739.75	dE -5.54	batch_acc 0.8700
[INFO  12:46:20] 70%:	E: -10246.98	dE -5.05	batch_acc 0.8600
[INFO  12:46:59] 80%:	E: -11045.26	dE -5.83	batch_acc 0.8500
[INFO  12:47:37] 90%:	E: -10854.14	dE -6.09	batch_acc 0.8300
[INFO  12:48:45] epoch: 7 	 test_acc: 0.8425 	 mean_E: -10720.2154
[INFO  12:48:46] 0%:	E: -10780.18	dE -5.39	batch_acc 0.8100
[INFO  12:49:24] 10%:	E: -10693.81	dE -5.58	batch_acc 0.8700
[INFO  12:50:03] 20%:	E: -10934.75	dE -7.00	batch_acc 0.8300
[INFO  12:50:41] 30%:	E: -10454.90	dE -7.07	batch_acc 0.8300
[INFO  12:51:20] 40%:	E: -10546.26	dE -5.81	batch_acc 0.8400
[INFO  12:51:58] 50%:	E: -10586.22	dE -5.15	batch_acc 0.8700
[INFO  12:52:37] 60%:	E: -10678.46	dE -4.99	batch_acc 0.8400
[INFO  12:53:15] 70%:	E: -10737.11	dE -5.65	batch_acc 0.8600
[INFO  12:53:53] 80%:	E: -12022.90	dE -5.48	batch_acc 0.8500
[INFO  12:54:32] 90%:	E: -11578.66	dE -5.58	batch_acc 0.8300
[INFO  12:55:40] epoch: 8 	 test_acc: 0.8473 	 mean_E: -11424.4348
[INFO  12:55:41] 0%:	E: -11773.75	dE -7.12	batch_acc 0.8100
[INFO  12:56:19] 10%:	E: -11183.99	dE -4.88	batch_acc 0.8600
[INFO  12:56:57] 20%:	E: -12296.27	dE -5.15	batch_acc 0.8600
[INFO  12:57:36] 30%:	E: -11513.58	dE -3.63	batch_acc 0.9200
[INFO  12:58:14] 40%:	E: -11734.38	dE -5.25	batch_acc 0.8700
[INFO  12:58:52] 50%:	E: -11353.18	dE -3.24	batch_acc 0.9300
[INFO  12:59:31] 60%:	E: -12092.84	dE -5.62	batch_acc 0.8400
[INFO  13:00:09] 70%:	E: -12184.13	dE -7.13	batch_acc 0.7900
[INFO  13:00:48] 80%:	E: -12172.93	dE -5.13	batch_acc 0.8600
[INFO  13:01:26] 90%:	E: -11667.50	dE -4.36	batch_acc 0.8900
[INFO  13:02:34] epoch: 9 	 test_acc: 0.8497 	 mean_E: -11976.9527
[INFO  13:02:35] 0%:	E: -11752.50	dE -5.24	batch_acc 0.8500
[INFO  13:03:13] 10%:	E: -12400.15	dE -4.95	batch_acc 0.8700
[INFO  13:03:52] 20%:	E: -12315.30	dE -4.79	batch_acc 0.8700
[INFO  13:04:30] 30%:	E: -11913.77	dE -3.52	batch_acc 0.9000
[INFO  13:05:08] 40%:	E: -12482.48	dE -4.07	batch_acc 0.9000
[INFO  13:05:47] 50%:	E: -11988.78	dE -3.95	batch_acc 0.9000
[INFO  13:06:25] 60%:	E: -12246.99	dE -5.13	batch_acc 0.9100
[INFO  13:07:04] 70%:	E: -12786.85	dE -5.66	batch_acc 0.8500
[INFO  13:07:42] 80%:	E: -12268.86	dE -4.78	batch_acc 0.8800
[INFO  13:08:20] 90%:	E: -12578.08	dE -7.39	batch_acc 0.7900
[INFO  13:09:28] epoch: 10 	 test_acc: 0.8517 	 mean_E: -12493.0685
[INFO  13:09:29] 0%:	E: -12977.42	dE -4.97	batch_acc 0.8600
[INFO  13:10:08] 10%:	E: -13651.04	dE -4.47	batch_acc 0.9000
[INFO  13:10:46] 20%:	E: -12056.14	dE -4.69	batch_acc 0.8900
[INFO  13:11:24] 30%:	E: -13838.89	dE -5.71	batch_acc 0.8600
[INFO  13:12:03] 40%:	E: -12722.83	dE -6.02	batch_acc 0.8400
[INFO  13:12:41] 50%:	E: -12570.00	dE -3.59	batch_acc 0.9200
[INFO  13:13:19] 60%:	E: -12281.68	dE -5.45	batch_acc 0.8900
[INFO  13:13:58] 70%:	E: -12985.99	dE -5.00	batch_acc 0.8600
[INFO  13:14:36] 80%:	E: -12095.16	dE -4.59	batch_acc 0.8600
[INFO  13:15:15] 90%:	E: -12253.02	dE -4.05	batch_acc 0.9000
[INFO  13:16:23] epoch: 11 	 test_acc: 0.8551 	 mean_E: -12899.1659
[INFO  13:16:24] 0%:	E: -13653.84	dE -5.27	batch_acc 0.8600
[INFO  13:17:03] 10%:	E: -12197.32	dE -2.76	batch_acc 0.9600
[INFO  13:17:41] 20%:	E: -12948.08	dE -4.86	batch_acc 0.8500
[INFO  13:18:19] 30%:	E: -12162.37	dE -3.41	batch_acc 0.9200
[INFO  13:18:58] 40%:	E: -13070.99	dE -5.30	batch_acc 0.8500
[INFO  13:19:36] 50%:	E: -13600.07	dE -4.83	batch_acc 0.8500
[INFO  13:20:15] 60%:	E: -12365.51	dE -4.36	batch_acc 0.9000
[INFO  13:20:53] 70%:	E: -12642.46	dE -4.33	batch_acc 0.8800
[INFO  13:21:31] 80%:	E: -12857.10	dE -4.27	batch_acc 0.8900
[INFO  13:22:10] 90%:	E: -12900.14	dE -4.18	batch_acc 0.9300
