[INFO  00:11:05] Start training with parametrization:
{
    "batch_size": 100,
    "beta": 1,
    "c_energy": "squared_error",
    "dataset": "mnist",
    "dimensions": [
        784,
        1000,
        10
    ],
    "dynamics": {
        "dt": 0.1,
        "n_relax": 50,
        "tau": 1,
        "tol": 0
    },
    "energy": "restr_hopfield",
    "epochs": 100,
    "fast_ff_init": false,
    "learning_rate": 0.001,
    "log_dir": "",
    "nonlinearity": "relu",
    "optimizer": "adam",
    "seed": 2022
}
[INFO  00:11:06] 0%:	E: 534.10	dE -30.06	batch_acc 0.3100
[INFO  00:11:45] 10%:	E: -186118.94	dE -2561.16	batch_acc 0.2200
[INFO  00:12:24] 20%:	E: -1174525.75	dE -5493.48	batch_acc 0.1700
[INFO  00:13:03] 30%:	E: -3489033.00	dE -679.11	batch_acc 0.1500
[INFO  00:13:42] 40%:	E: -5868390.50	dE -38196.21	batch_acc 0.1100
[INFO  00:14:20] 50%:	E: -11559280.00	dE -348306.69	batch_acc 0.1600
[INFO  00:14:59] 60%:	E: -13765409.00	dE -217137.48	batch_acc 0.1500
[INFO  00:15:38] 70%:	E: -20503282.00	dE -2147966.00	batch_acc 0.1400
[INFO  00:16:17] 80%:	E: -30714358.00	dE -2109031.25	batch_acc 0.1300
[INFO  00:16:55] 90%:	E: -32823592.00	dE -16108742.00	batch_acc 0.1400
[INFO  00:18:05] epoch: 1 	 test_acc: 0.1136 	 mean_E: -48221985.7152
[INFO  00:18:06] 0%:	E: -40858884.00	dE -9131595.00	batch_acc 0.1600
[INFO  00:18:44] 10%:	E: -53909264.00	dE -17143182.00	batch_acc 0.1200
[INFO  00:19:23] 20%:	E: -70227128.00	dE -61439192.00	batch_acc 0.0700
[INFO  00:20:02] 30%:	E: -73324984.00	dE -18899504.00	batch_acc 0.1100
[INFO  00:20:41] 40%:	E: -84092816.00	dE -71712568.00	batch_acc 0.0900
[INFO  00:21:19] 50%:	E: -126414376.00	dE -120113976.00	batch_acc 0.1600
[INFO  00:21:58] 60%:	E: -99777248.00	dE -256164256.00	batch_acc 0.1300
[INFO  00:22:37] 70%:	E: -134063632.00	dE -109071600.00	batch_acc 0.1100
[INFO  00:23:16] 80%:	E: -133088752.00	dE -129383792.00	batch_acc 0.0700
[INFO  00:23:54] 90%:	E: -156646032.00	dE -703260096.00	batch_acc 0.1100
[INFO  00:25:03] epoch: 2 	 test_acc: 0.1229 	 mean_E: -165488829.5424
[INFO  00:25:04] 0%:	E: -154446336.00	dE -316771872.00	batch_acc 0.1000
[INFO  00:25:43] 10%:	E: -159890208.00	dE -480751232.00	batch_acc 0.1200
[INFO  00:26:22] 20%:	E: -186626160.00	dE -607855104.00	batch_acc 0.0900
[INFO  00:27:00] 30%:	E: -187201536.00	dE -601875584.00	batch_acc 0.0900
[INFO  00:27:39] 40%:	E: -214235296.00	dE -672151808.00	batch_acc 0.1200
[INFO  00:28:18] 50%:	E: -217462816.00	dE -694785024.00	batch_acc 0.1200
[INFO  00:28:57] 60%:	E: -250824368.00	dE -454715872.00	batch_acc 0.1600
[INFO  00:29:36] 70%:	E: -244501456.00	dE -1486044160.00	batch_acc 0.0800
[INFO  00:30:14] 80%:	E: -290103936.00	dE -2633922048.00	batch_acc 0.1300
[INFO  00:30:53] 90%:	E: -230713120.00	dE -1051556864.00	batch_acc 0.0900
[INFO  00:32:02] epoch: 3 	 test_acc: 0.1253 	 mean_E: -288501745.0496
[INFO  00:32:03] 0%:	E: -241447888.00	dE -2337352704.00	batch_acc 0.1100
[INFO  00:32:42] 10%:	E: -276814848.00	dE -1315118080.00	batch_acc 0.0500
[INFO  00:33:21] 20%:	E: -320196864.00	dE -1812791808.00	batch_acc 0.1400
[INFO  00:34:00] 30%:	E: -360490208.00	dE -2835134208.00	batch_acc 0.1200
[INFO  00:34:39] 40%:	E: -281034176.00	dE -1488259840.00	batch_acc 0.0600
[INFO  00:35:17] 50%:	E: -371733792.00	dE -2562957312.00	batch_acc 0.1300
[INFO  00:35:56] 60%:	E: -2089543868088320.00	dE -904645623197285513953280.00	batch_acc 0.1500
[INFO  00:36:34] 70%:	E: -2268938612244480.00	dE -781496024452329002500096.00	batch_acc 0.0900
[INFO  00:37:13] 80%:	E: -1511875061743616.00	dE -2818853591202208071811072.00	batch_acc 0.0800
[INFO  00:37:52] 90%:	E: -3164768932200448.00	dE -1421375097614097094541312.00	batch_acc 0.1300
[INFO  00:39:01] epoch: 4 	 test_acc: 0.1127 	 mean_E: -2199357026909500.2500
[INFO  00:39:02] 0%:	E: -2910470897926144.00	dE -1674032080741164575096832.00	batch_acc 0.1200
[INFO  00:39:41] 10%:	E: -4531347263586304.00	dE -2231495136606864514482176.00	batch_acc 0.1300
[INFO  00:40:20] 20%:	E: -3112039887142912.00	dE -3668464794607461897076736.00	batch_acc 0.1300
[INFO  00:40:59] 30%:	E: -2931583078105088.00	dE -1424114583224231038812160.00	batch_acc 0.0700
[INFO  00:41:37] 40%:	E: -1661418172579840.00	dE -3872262117290795809636352.00	batch_acc 0.0900
[INFO  00:42:16] 50%:	E: -2373259609767936.00	dE -1419604642528585205153792.00	batch_acc 0.0900
[INFO  00:42:55] 60%:	E: -4982789128585216.00	dE -1527384644695627839569920.00	batch_acc 0.1100
[INFO  00:43:34] 70%:	E: -6917245083058176.00	dE -2174997515310298661126144.00	batch_acc 0.1200
[INFO  00:44:13] 80%:	E: -3910585439748096.00	dE -6859004426224229089804288.00	batch_acc 0.0900
[INFO  00:44:51] 90%:	E: -7358615249747968.00	dE -3236658797644050285461504.00	batch_acc 0.0900
[INFO  00:46:00] epoch: 5 	 test_acc: 0.0995 	 mean_E: -9062654989421668.0000
[INFO  00:46:01] 0%:	E: -3974885395136512.00	dE -6611702763486060413452288.00	batch_acc 0.1000
[INFO  00:46:40] 10%:	E: -10212724634025984.00	dE -5608873768495703507599360.00	batch_acc 0.1300
[INFO  00:47:19] 20%:	E: -12572775877181440.00	dE -11645876867276627391807488.00	batch_acc 0.1000
[INFO  00:47:58] 30%:	E: -13081362282053632.00	dE -17254724695038477245349888.00	batch_acc 0.1000
[INFO  00:48:37] 40%:	E: -10765104672931840.00	dE -23978055624443581796712448.00	batch_acc 0.0800
[INFO  00:49:15] 50%:	E: -15556804264067072.00	dE -8661252475147156889534464.00	batch_acc 0.1500
[INFO  00:49:54] 60%:	E: -6968424987099136.00	dE -17427213281342707621429248.00	batch_acc 0.1200
[INFO  00:50:33] 70%:	E: -24565439111626752.00	dE -41938003957105993627729920.00	batch_acc 0.1400
[INFO  00:51:12] 80%:	E: -16497165878689792.00	dE -22991574479927797677555712.00	batch_acc 0.0600
[INFO  00:51:50] 90%:	E: -16764981785657344.00	dE -16062196877983871255183360.00	batch_acc 0.0400
[INFO  00:53:00] epoch: 6 	 test_acc: 0.1049 	 mean_E: -22260296876149020.0000
[INFO  00:53:01] 0%:	E: -24208364120571904.00	dE -74202341631145924437737472.00	batch_acc 0.0900
[INFO  00:53:39] 10%:	E: -26840463960965120.00	dE -37482511132436722924650496.00	batch_acc 0.0400
[INFO  00:54:18] 20%:	E: -35529485595967488.00	dE -26222355683741362257133568.00	batch_acc 0.1200
[INFO  00:54:57] 30%:	E: -29289920317095936.00	dE -30007800505892253275783168.00	batch_acc 0.1200
[INFO  00:55:36] 40%:	E: -45000592858284032.00	dE -27424094190696272347791360.00	batch_acc 0.1300
[INFO  00:56:15] 50%:	E: -32128034706292736.00	dE -57138840496861538831826944.00	batch_acc 0.0900
[INFO  00:56:54] 60%:	E: -17019994395115520.00	dE -47384640340855678539137024.00	batch_acc 0.0700
[INFO  00:57:33] 70%:	E: -25618116268523520.00	dE -21789847502187933655367680.00	batch_acc 0.1200
[INFO  00:58:12] 80%:	E: -16032083197558784.00	dE -99250437539073176195039232.00	batch_acc 0.0800
[INFO  00:58:51] 90%:	E: -41992887390437376.00	dE -36268943650844546584018944.00	batch_acc 0.1500
[INFO  01:00:00] epoch: 7 	 test_acc: 0.0995 	 mean_E: -35767319011410524.0000
[INFO  01:00:01] 0%:	E: -52733187553492992.00	dE -183612065214397604251566080.00	batch_acc 0.0700
[INFO  01:00:39] 10%:	E: -34113993224224768.00	dE -37799808965562582494609408.00	batch_acc 0.0600
[INFO  01:01:18] 20%:	E: -48318442209542144.00	dE -81206293654772335543058432.00	batch_acc 0.1000
[INFO  01:01:57] 30%:	E: -86560642034565120.00	dE -90856836944142003437830144.00	batch_acc 0.1100
[INFO  01:02:36] 40%:	E: -27714811928248320.00	dE -49448194590033234385436672.00	batch_acc 0.1400
[INFO  01:03:15] 50%:	E: -31256392568406016.00	dE -24362033825709882968375296.00	batch_acc 0.1500
[INFO  01:03:54] 60%:	E: -37972523123474432.00	dE -62212848038636272373202944.00	batch_acc 0.1100
[INFO  01:04:32] 70%:	E: -66952956687155200.00	dE -122687394819602635714199552.00	batch_acc 0.1000
[INFO  01:05:11] 80%:	E: -76211686406619136.00	dE -96499456148616797052993536.00	batch_acc 0.1500
[INFO  01:05:50] 90%:	E: -24122640868311040.00	dE -76699103829836493821575168.00	batch_acc 0.1500
[INFO  01:06:59] epoch: 8 	 test_acc: 0.1027 	 mean_E: -51651073072142536.0000
[INFO  01:07:00] 0%:	E: -48394342871597056.00	dE -105536488400210995825344512.00	batch_acc 0.1100
[INFO  01:07:39] 10%:	E: -69079734297821184.00	dE -67774333850988872952971264.00	batch_acc 0.1000
[INFO  01:08:18] 20%:	E: -79077640773828608.00	dE -93603317329044397449281536.00	batch_acc 0.1100
[INFO  01:08:57] 30%:	E: -56887971411918848.00	dE -682943697025196336644882432.00	batch_acc 0.0800
[INFO  01:09:36] 40%:	E: -60315123385892864.00	dE -65075796553934050066169856.00	batch_acc 0.0700
[INFO  01:10:15] 50%:	E: -45517552301899776.00	dE -143171489542533038758428672.00	batch_acc 0.0600
[INFO  01:10:53] 60%:	E: -75729627867250688.00	dE -195357346973801433989644288.00	batch_acc 0.1100
