[INFO  09:07:15] Start training with parametrization:
{
    "batch_size": 100,
    "beta": 1,
    "c_energy": "squared_error",
    "dataset": "mnist",
    "dimensions": [
        784,
        1000,
        10
    ],
    "dynamics": {
        "dt": 0.1,
        "n_relax": 50,
        "tau": 1,
        "tol": 0
    },
    "energy": "restr_hopfield",
    "epochs": 100,
    "fast_ff_init": false,
    "learning_rate": 0.001,
    "log_dir": "",
    "nonlinearity": "tanh",
    "optimizer": "adam",
    "seed": 2022
}
[INFO  09:07:16] 0%:	E: 389.13	dE -36.95	batch_acc 0.2400
[INFO  09:07:55] 10%:	E: -1024.03	dE -10.02	batch_acc 0.8100
[INFO  09:08:33] 20%:	E: -1162.39	dE -9.04	batch_acc 0.8300
[INFO  09:09:11] 30%:	E: -1309.00	dE -9.24	batch_acc 0.7500
[INFO  09:09:50] 40%:	E: -1334.22	dE -6.67	batch_acc 0.8500
[INFO  09:10:28] 50%:	E: -1620.59	dE -8.64	batch_acc 0.7600
[INFO  09:11:07] 60%:	E: -1601.55	dE -5.62	batch_acc 0.8400
[INFO  09:11:45] 70%:	E: -1721.75	dE -5.31	batch_acc 0.9100
[INFO  09:12:23] 80%:	E: -1877.34	dE -6.93	batch_acc 0.7900
[INFO  09:13:02] 90%:	E: -1842.94	dE -7.27	batch_acc 0.8000
[INFO  09:14:10] epoch: 1 	 test_acc: 0.8357 	 mean_E: -2048.8840
[INFO  09:14:11] 0%:	E: -1945.57	dE -7.21	batch_acc 0.8100
[INFO  09:14:50] 10%:	E: -2062.43	dE -5.02	batch_acc 0.8900
[INFO  09:15:28] 20%:	E: -2253.10	dE -6.21	batch_acc 0.8300
[INFO  09:16:06] 30%:	E: -2127.61	dE -5.99	batch_acc 0.8500
[INFO  09:16:44] 40%:	E: -2238.61	dE -5.47	batch_acc 0.8600
[INFO  09:17:23] 50%:	E: -2577.87	dE -5.49	batch_acc 0.8900
[INFO  09:18:01] 60%:	E: -2432.83	dE -5.36	batch_acc 0.8700
[INFO  09:18:39] 70%:	E: -2496.78	dE -6.71	batch_acc 0.8400
[INFO  09:19:18] 80%:	E: -2542.07	dE -6.88	batch_acc 0.8000
[INFO  09:19:56] 90%:	E: -2751.50	dE -3.80	batch_acc 0.9400
[INFO  09:21:04] epoch: 2 	 test_acc: 0.8567 	 mean_E: -2723.4029
[INFO  09:21:05] 0%:	E: -2656.04	dE -5.04	batch_acc 0.9000
[INFO  09:21:44] 10%:	E: -2685.24	dE -4.18	batch_acc 0.9100
[INFO  09:22:22] 20%:	E: -2785.60	dE -4.94	batch_acc 0.8700
[INFO  09:23:01] 30%:	E: -2827.81	dE -4.74	batch_acc 0.9000
[INFO  09:23:39] 40%:	E: -2890.08	dE -4.77	batch_acc 0.9100
[INFO  09:24:18] 50%:	E: -3005.07	dE -5.88	batch_acc 0.8700
[INFO  09:24:56] 60%:	E: -3223.79	dE -4.83	batch_acc 0.8700
[INFO  09:25:35] 70%:	E: -2868.27	dE -5.10	batch_acc 0.8900
[INFO  09:26:13] 80%:	E: -3255.39	dE -5.02	batch_acc 0.8700
[INFO  09:26:51] 90%:	E: -3122.67	dE -3.47	batch_acc 0.9300
[INFO  09:27:57] epoch: 3 	 test_acc: 0.8602 	 mean_E: -3314.9813
[INFO  09:27:58] 0%:	E: -3169.02	dE -4.16	batch_acc 0.9100
[INFO  09:28:36] 10%:	E: -3282.18	dE -4.15	batch_acc 0.9300
[INFO  09:29:14] 20%:	E: -3453.27	dE -4.31	batch_acc 0.9100
[INFO  09:29:52] 30%:	E: -3584.63	dE -4.08	batch_acc 0.9600
[INFO  09:30:30] 40%:	E: -3305.09	dE -5.81	batch_acc 0.8700
[INFO  09:31:09] 50%:	E: -3552.73	dE -5.38	batch_acc 0.8700
[INFO  09:31:47] 60%:	E: -3811.57	dE -4.58	batch_acc 0.8700
[INFO  09:32:25] 70%:	E: -3627.91	dE -5.74	batch_acc 0.8600
[INFO  09:33:04] 80%:	E: -3984.07	dE -5.74	batch_acc 0.8900
[INFO  09:33:42] 90%:	E: -3786.19	dE -4.83	batch_acc 0.9000
[INFO  09:34:50] epoch: 4 	 test_acc: 0.8650 	 mean_E: -3876.3740
[INFO  09:34:51] 0%:	E: -3997.72	dE -4.15	batch_acc 0.9200
[INFO  09:35:30] 10%:	E: -4043.13	dE -3.78	batch_acc 0.9000
[INFO  09:36:09] 20%:	E: -3740.59	dE -6.24	batch_acc 0.8600
[INFO  09:36:47] 30%:	E: -3865.51	dE -4.17	batch_acc 0.9300
[INFO  09:37:25] 40%:	E: -4146.85	dE -5.59	batch_acc 0.8700
[INFO  09:38:03] 50%:	E: -4009.46	dE -4.10	batch_acc 0.9300
[INFO  09:38:42] 60%:	E: -3989.60	dE -4.82	batch_acc 0.9000
[INFO  09:39:20] 70%:	E: -4217.69	dE -5.63	batch_acc 0.8800
[INFO  09:39:59] 80%:	E: -4629.14	dE -4.57	batch_acc 0.8700
[INFO  09:40:37] 90%:	E: -4489.82	dE -4.97	batch_acc 0.9000
[INFO  09:41:46] epoch: 5 	 test_acc: 0.8563 	 mean_E: -4537.5358
[INFO  09:41:47] 0%:	E: -4203.17	dE -4.69	batch_acc 0.9000
[INFO  09:42:25] 10%:	E: -4740.27	dE -5.13	batch_acc 0.8600
[INFO  09:43:03] 20%:	E: -4468.03	dE -6.10	batch_acc 0.9000
[INFO  09:43:41] 30%:	E: -4544.77	dE -3.66	batch_acc 0.9000
[INFO  09:44:20] 40%:	E: -4826.51	dE -4.93	batch_acc 0.8900
[INFO  09:44:58] 50%:	E: -4799.31	dE -4.61	batch_acc 0.8800
[INFO  09:45:36] 60%:	E: -4926.74	dE -6.54	batch_acc 0.8300
[INFO  09:46:15] 70%:	E: -4585.16	dE -3.28	batch_acc 0.9600
[INFO  09:46:53] 80%:	E: -4784.70	dE -4.01	batch_acc 0.9200
[INFO  09:47:32] 90%:	E: -5477.89	dE -5.07	batch_acc 0.8600
[INFO  09:48:39] epoch: 6 	 test_acc: 0.8722 	 mean_E: -5210.1814
